location_id,location_name,sensor_id,latitude,longitude,provider,owner,is_reference_monitor,is_mobile,sensor_datetime_first_utc,sensor_datetime_last_utc,history_days,recent_window_days,recent_unique_hours,recent_expected_hours,recent_coverage_pct,hours_since_latest,recent_numeric_values,negative_values,is_recent,sufficient_history,sufficient_recent_coverage,valid_values,usable_for_multilocation,score
4757305,Forman Christian College & Chartered University,13341452,31.521146,74.333954,AirGradient,The Urban Unit,False,False,2025-06-16T10:00:00+00:00,2026-08-24T18:00:00+00:00,434.3,30,715,720,99.31,1.3,715,0,True,True,True,True,True,12
4527035,Civil Secretariat,13153587,31.565942,74.2993626,AirGradient,The Urban Unit,False,False,2025-05-26T07:00:00+00:00,2026-08-24T18:00:00+00:00,455.5,30,713,720,99.03,1.3,713,0,True,True,True,True,True,12
4527173,Learning Alliance Intl. DHA,13154528,31.525621,74.436078,AirGradient,The Urban Unit,False,False,2025-05-26T09:00:00+00:00,2026-08-24T18:00:00+00:00,455.4,30,712,720,98.89,1.3,712,0,True,True,True,True,True,12
4515157,"Barki, Lahore",13137726,31.4591591,74.5396309,AirGradient,AirGradient,False,False,2025-05-24T17:00:00+00:00,2026-08-24T18:00:00+00:00,457.0,30,710,720,98.61,1.3,710,0,True,True,True,True,True,12
4609353,Kahna Hospital ,13230942,31.371023502439286,74.36487268127355,AirGradient,The Urban Unit,False,False,2025-06-03T14:00:00+00:00,2026-08-24T18:00:00+00:00,447.2,30,694,720,96.39,1.3,694,0,True,True,True,True,True,12
4618814,Gulberg III,13238783,31.508051,74.337544,AirGradient,The Urban Unit,False,False,2025-06-04T12:00:00+00:00,2026-08-24T18:00:00+00:00,446.2,30,691,720,95.97,1.3,691,0,True,True,True,True,True,12
4568423,Model Town,13192746,31.491676,74.313288,AirGradient,The Urban Unit,False,False,2025-05-30T12:00:00+00:00,2026-08-24T16:00:00+00:00,451.2,30,689,720,95.69,3.3,689,0,True,True,True,True,True,12
4605119,College Road,13223107,31.421799,74.274837,AirGradient,The Urban Unit,False,False,2025-06-02T18:00:00+00:00,2026-08-24T18:00:00+00:00,448.0,30,683,720,94.86,1.3,683,0,True,True,True,True,True,12
4555745,Ravi Road,13183459,31.602875,74.300927,AirGradient,The Urban Unit,False,False,2025-05-29T11:00:00+00:00,2026-08-24T16:00:00+00:00,452.2,30,670,720,93.06,3.3,670,0,True,True,True,True,True,12
4527402,"HBFC Society, DHA Phase 5 (Hussainy House)",13156083,31.4571645,74.4106586,AirGradient,The Urban Unit,False,False,2025-05-26T13:00:00+00:00,2026-08-24T18:00:00+00:00,455.2,30,665,720,92.36,1.3,665,0,True,True,True,True,True,12
4565933,"IEEE, Punjab University, LHR",13190998,31.495322,74.295056,AirGradient,The Urban Unit,False,False,2025-05-30T07:00:00+00:00,2026-08-24T18:00:00+00:00,451.5,30,660,720,91.67,1.3,660,0,True,True,True,True,True,12
6135306,Askari 10,14671481,31.5353,74.4172,Hawanama,Pakistan Air Quality Initiative (PAQI پاکی),False,False,2025-11-18T14:00:00+00:00,2026-08-24T16:00:00+00:00,279.1,30,713,720,99.03,3.3,713,0,True,True,True,True,True,11
6135353,The University of Lahore,14671528,31.3912,74.2414,Hawanama,Pakistan Air Quality Initiative (PAQI پاکی),False,False,2025-11-18T14:00:00+00:00,2026-08-24T16:00:00+00:00,279.1,30,713,720,99.03,3.3,713,0,True,True,True,True,True,11
6135340,Tufail Road near Rahat Bakery,14671515,31.5298,74.3776,Hawanama,Pakistan Air Quality Initiative (PAQI پاکی),False,False,2025-11-18T14:00:00+00:00,2026-08-24T16:00:00+00:00,279.1,30,701,720,97.36,3.3,701,0,True,True,True,True,True,11
6135313,Ghazi Road Interchange,14671488,31.489402,74.4176706,Hawanama,Pakistan Air Quality Initiative (PAQI پاکی),False,False,2025-11-18T14:00:00+00:00,2026-08-24T16:00:00+00:00,279.1,30,700,720,97.22,3.3,700,0,True,True,True,True,True,11
6135350,NPPMCL,14671525,31.5182,74.3508,Hawanama,Pakistan Air Quality Initiative (PAQI پاکی),False,False,2025-11-18T14:00:00+00:00,2026-08-24T16:00:00+00:00,279.1,30,700,720,97.22,3.3,700,0,True,True,True,True,True,11
6135357,VTS,14671532,31.5083,74.321,Hawanama,Pakistan Air Quality Initiative (PAQI پاکی),False,False,2025-11-18T14:00:00+00:00,2026-08-24T16:00:00+00:00,279.1,30,700,720,97.22,3.3,700,0,True,True,True,True,True,11
