,pm25_ug_m3,temperature_c,relative_humidity_pct,precipitation_mm,wind_speed_m_s,wind_direction_deg,surface_pressure_hpa,hour,month,day_of_week,is_weekend
pm25_ug_m3,1.0,-0.7266009643262544,0.30656154406211167,-0.09286953185891461,-0.376001996017269,0.16500181388142332,0.6656321122125197,-0.14523760852100984,0.2342945684813806,0.004918870566427577,0.016584222449949768
temperature_c,-0.7266009643262544,1.0,-0.5304004267432021,-0.0012222145912968072,0.24049746163990682,-0.11827860054119192,-0.7889605123564496,0.21957814214005383,0.08262317078621934,-0.0028654676580045515,0.0012410309896968945
relative_humidity_pct,0.30656154406211167,-0.5304004267432021,1.0,0.17197924493207745,-0.13389294574234967,-0.3060562434631247,0.04076025313018383,-0.31508602815519704,0.1276549886992871,-0.0010960714519329664,-0.00021135390481567603
precipitation_mm,-0.09286953185891461,-0.0012222145912968072,0.17197924493207745,1.0,0.13085517921218023,-0.077024672203694,-0.1100055841480215,-0.06854764380948616,0.01998441427576627,-0.02518148004616219,-0.019729303113323805
wind_speed_m_s,-0.376001996017269,0.24049746163990682,-0.13389294574234967,0.13085517921218023,1.0,-0.07924692521675308,-0.2705583841676041,0.03757148298149615,-0.12441090887376399,-0.020159068893866445,-0.019081268860724285
wind_direction_deg,0.16500181388142332,-0.11827860054119192,-0.3060562434631247,-0.077024672203694,-0.07924692521675308,1.0,0.3350414857564351,0.07272863875984517,0.02292013945656344,0.013976984918984192,0.005702146769945214
surface_pressure_hpa,0.6656321122125197,-0.7889605123564496,0.04076025313018383,-0.1100055841480215,-0.2705583841676041,0.3350414857564351,1.0,-0.02299455452366799,-0.06817470218675302,0.021391948942192044,0.007281376673629731
hour,-0.14523760852100984,0.21957814214005383,-0.31508602815519704,-0.06854764380948616,0.03757148298149615,0.07272863875984517,-0.02299455452366799,1.0,-0.0006131642636840738,-0.00290389976370979,-0.0021666215167246185
month,0.2342945684813806,0.08262317078621934,0.1276549886992871,0.01998441427576627,-0.12441090887376399,0.02292013945656344,-0.06817470218675302,-0.0006131642636840738,1.0,-0.008498986847849898,-0.0024118341303920924
day_of_week,0.004918870566427577,-0.0028654676580045515,-0.0010960714519329664,-0.02518148004616219,-0.020159068893866445,0.013976984918984192,0.021391948942192044,-0.00290389976370979,-0.008498986847849898,1.0,0.7900940625467502
is_weekend,0.016584222449949768,0.0012410309896968945,-0.00021135390481567603,-0.019729303113323805,-0.019081268860724285,0.005702146769945214,0.007281376673629731,-0.0021666215167246185,-0.0024118341303920924,0.7900940625467502,1.0
