hour,count,mean,median,minimum,maximum
0,392,136.2350456632653,75.5,0.0879,494.0
1,392,139.46479872448978,77.25,0.0411,575.0
2,390,141.11638461538462,79.9,0.0,565.0
3,388,142.0526288659794,81.6,0.0,608.0
4,388,143.54088659793814,81.45,0.764,684.0
5,385,144.83127272727273,82.3,2.12,735.0
6,385,144.91002597402598,85.3,1.19,661.0
7,387,144.30316279069768,80.0,0.994,632.0
8,387,136.42399715762275,68.9,0.0769,530.0
9,379,118.00142216358839,59.5,0.779,502.0
10,380,100.64255789473684,52.2,0.032,469.0
11,377,88.02078779840849,47.9,0.667,429.0
12,379,78.05142480211082,45.4,1.68,358.0
13,379,70.87901583113457,42.9,0.147,367.0
14,383,66.90754830287206,41.7,0.571,353.0
15,380,65.38708684210526,42.150000000000006,0.873,368.0
16,383,67.74279373368147,41.9,1.01,387.0
17,388,74.62719072164948,43.2,1.26,402.0
18,390,84.11217948717949,47.4,1.51,409.0
19,390,94.42815384615385,52.2,2.24,421.0
20,391,107.01189258312021,57.5,0.32,445.0
21,393,117.4076106870229,64.5,0.411,465.0
22,394,124.75528680203045,70.19999999999999,0.743,506.0
23,392,131.56676530612245,72.7,0.822,526.0
