month,count,mean,median,minimum,maximum
1,599,229.26644407345577,216.0,48.3,686.0
2,435,174.16873563218388,178.0,28.3,403.0
3,744,86.61599462365592,63.2,4.6,422.0
4,714,53.55672268907563,42.55,4.4,257.0
5,734,55.08732970027248,44.2,4.0,233.0
6,1048,47.41777958015267,42.7,0.873,157.0
7,1158,49.80770293609672,44.8,1.3,148.0
8,1097,45.26019963536919,41.6,0.032,287.0
9,688,53.64878909883721,45.9,0.0,236.0
10,702,142.07008547008547,113.0,10.3,475.0
11,666,260.80750750750747,264.0,47.6,735.0
12,687,301.0902474526929,303.0,55.8,568.0
